id,HEAVEN id,do processing,gps location-alt,gps location-lat,gps location-lng,gps location in 2D-alt, gps location in 2D-lat,gps location in 2D-lng
0,UAV0,0,0.00000000,45.49721359,-73.59949226,0.00000000,0.00000000,0.00000000
1,UAV1,1,0.00000000,45.49721359,-73.59939226,0.00000000,0.00000000,11.11949266
2,UAV2,1,0.00000000,45.49721359,-73.59929226,0.00000000,0.00000000,22.23898533
3,UAV3,0,0.00000000,45.49721359,-73.59919226,0.00000000,0.00000000,33.35847799
4,UAV4,0,0.00000000,45.49721359,-73.59909226,0.00000000,0.00000000,44.47797066
5,UAV5,1,0.00000000,45.49721359,-73.59899226,0.00000000,0.00000000,55.59746332
6,UAV6,1,0.00000000,45.49721359,-73.59889226,0.00000000,0.00000000,66.71695599
7,UAV7,0,0.00000000,45.49721359,-73.59879226,0.00000000,0.00000000,77.83644865
8,UAV8,1,0.00000000,45.49721359,-73.59869226,0.00000000,0.00000000,88.95594132
9,UAV9,1,0.00000000,45.49721359,-73.59859226,0.00000000,0.00000000,100.07543398
10,UAV10,1,0.00000000,45.49721359,-73.59849226,0.00000000,0.00000000,111.19492665
11,UAV11,1,0.00000000,45.49721359,-73.59839226,0.00000000,0.00000000,122.31441931
12,UAV12,0,0.00000000,45.49721359,-73.59829226,0.00000000,0.00000000,133.43391198
13,UAV13,0,0.00000000,45.49721359,-73.59819226,0.00000000,0.00000000,144.55340464
14,UAV14,0,0.00000000,45.49721359,-73.59809226,0.00000000,0.00000000,155.67289731
15,UAV15,0,0.00000000,45.49721359,-73.59799226,0.00000000,0.00000000,166.79238997
16,UAV16,0,0.00000000,45.49721359,-73.59789226,0.00000000,0.00000000,177.91188264
17,UAV17,1,0.00000000,45.49721359,-73.59779226,0.00000000,0.00000000,189.03137530
18,UAV18,0,0.00000000,45.49721359,-73.59769226,0.00000000,0.00000000,200.15086797
19,UAV19,0,0.00000000,45.49721359,-73.59759226,0.00000000,0.00000000,211.27036063
20,UAV20,1,0.00000000,45.49721359,-73.59749226,0.00000000,0.00000000,222.38985330
21,UAV21,0,0.00000000,45.49721359,-73.59739226,0.00000000,0.00000000,233.50934596
22,UAV22,0,0.00000000,45.49721359,-73.59729226,0.00000000,0.00000000,244.62883863
23,UAV23,1,0.00000000,45.49721359,-73.59719226,0.00000000,0.00000000,255.74833129
24,UAV24,1,15.00000000,45.49919111,-73.59709226,15.00000000,219.89063786,266.86782380
