id,size(Mb),processing time(s),photo ownership,gps location-alt,gps location-lat,gps location-lng,gps location in 2D-alt, gps location in 2D-lat,gps location in 2D-lng
0,4.8,26.72,8,10.000000,45.495013,-73.595005,0.000000,0.000000,0.000000
1,4.8,26.72,8,10.000000,45.495013,-73.594005,0.000000,0.000000,0.111195
2,4.8,22.405418568352474,7,10.000000,45.496013,-73.595005,0.000000,0.111195,0.000000
3,4.8,22.405418568352474,7,10.000000,45.496013,-73.594005,0.000000,0.111195,0.111195
4,4.8,31.806744763139587,8,10.000000,45.495013,-73.593005,0.000000,0.000000,0.222390
5,4.8,22.405418568352474,7,10.000000,45.496013,-73.593005,0.000000,0.111195,0.222390
6,4.8,31.806744763139587,8,10.000000,45.495013,-73.592005,0.000000,0.000000,0.333585
7,4.8,22.405418568352474,9,10.000000,45.497013,-73.595005,0.000000,0.222390,0.000000
8,4.8,31.806744763139587,7,10.000000,45.496013,-73.592005,0.000000,0.111195,0.333585
9,4.8,22.405418568352474,9,10.000000,45.497013,-73.594005,0.000000,0.222390,0.111195
10,4.8,22.405418568352474,9,10.000000,45.497013,-73.593005,0.000000,0.222390,0.222390
11,4.8,26.72,9,10.000000,45.497013,-73.592005,0.000000,0.222390,0.333585
12,4.8,31.806744763139587,8,10.000000,45.495013,-73.591005,0.000000,0.000000,0.444780
13,4.8,31.806744763139587,7,10.000000,45.496013,-73.591005,0.000000,0.111195,0.444780
14,4.8,22.405418568352474,6,10.000000,45.498013,-73.595005,0.000000,0.333585,0.000000
15,4.8,22.405418568352474,6,10.000000,45.498013,-73.594005,0.000000,0.333585,0.111195
16,4.8,22.405418568352474,6,10.000000,45.498013,-73.593005,0.000000,0.333585,0.222390
17,4.8,31.806744763139587,9,10.000000,45.497013,-73.591005,0.000000,0.222390,0.444780
18,4.8,26.72,6,10.000000,45.498013,-73.592005,0.000000,0.333585,0.333585
19,4.8,31.806744763139587,8,10.000000,45.495013,-73.590005,0.000000,0.000000,0.555975
20,4.8,31.806744763139587,7,10.000000,45.496013,-73.590005,0.000000,0.111195,0.555975
21,4.8,25.613266411863304,2,10.000000,45.499013,-73.595005,0.000000,0.444780,0.000000
22,4.8,25.613266411863304,2,10.000000,45.499013,-73.594005,0.000000,0.444780,0.111195
23,4.8,26.72,9,10.000000,45.497013,-73.590005,0.000000,0.222390,0.555975
24,4.8,36.27476566965419,2,10.000000,45.499013,-73.593005,0.000000,0.444780,0.222390
25,4.8,26.72,6,10.000000,45.498013,-73.591005,0.000000,0.333585,0.444780
26,4.8,26.72,2,10.000000,45.499013,-73.592005,0.000000,0.444780,0.333585
27,4.8,31.806744763139587,8,10.000000,45.495013,-73.589005,0.000000,0.000000,0.667170
28,4.8,26.72,7,10.000000,45.496013,-73.589005,0.000000,0.111195,0.667170
29,4.8,27.90815748704741,9,10.000000,45.497013,-73.589005,0.000000,0.222390,0.667170
30,4.8,35.930675790693286,1,10.000000,45.500013,-73.595005,0.000000,0.555975,0.000000
31,4.8,30.68002965249856,1,10.000000,45.500013,-73.594005,0.000000,0.555975,0.111195
32,4.8,26.72,6,10.000000,45.498013,-73.590005,0.000000,0.333585,0.555975
33,4.8,26.72,2,10.000000,45.499013,-73.591005,0.000000,0.444780,0.444780
34,4.8,30.68002965249856,1,10.000000,45.500013,-73.593005,0.000000,0.555975,0.222390
35,4.8,30.68002965249856,1,10.000000,45.500013,-73.592005,0.000000,0.555975,0.333585
36,4.8,26.72,8,10.000000,45.495013,-73.588005,0.000000,0.000000,0.778364
37,4.8,26.72,7,10.000000,45.496013,-73.588005,0.000000,0.111195,0.778364
38,4.8,27.90815748704741,9,10.000000,45.497013,-73.588005,0.000000,0.222390,0.778364
39,4.8,27.90815748704741,6,10.000000,45.498013,-73.589005,0.000000,0.333585,0.667170
40,4.8,35.930675790693286,0,10.000000,45.501013,-73.595005,0.000000,0.667170,0.000000
41,4.8,26.72,2,10.000000,45.499013,-73.590005,0.000000,0.444780,0.555975
42,4.8,35.930675790693286,0,10.000000,45.501013,-73.594005,0.000000,0.667170,0.111195
43,4.8,26.72,1,10.000000,45.500013,-73.591005,0.000000,0.555975,0.444780
