id,HEAVEN id,do processing,gps location-alt,gps location-lat,gps location-lng,gps location in 2D-alt, gps location in 2D-lat,gps location in 2D-lng
0,UAV0,1,15.00000000,45.49992999,-73.59792827,15.00000000,302.05029725,173.90774671
1,UAV1,1,15.00000000,45.49819436,-73.59939226,15.00000000,109.05648122,11.11949266
2,UAV2,1,15.00000000,45.49961414,-73.59820110,15.00000000,266.92958765,143.57061595
3,UAV3,1,15.00000000,45.49819436,-73.59919226,15.00000000,109.05648122,33.35847799
4,UAV4,1,15.00000000,45.49930983,-73.59839352,15.00000000,233.09123631,122.17504935
5,UAV5,1,15.00000000,45.49819436,-73.59899226,15.00000000,109.05648122,55.59746332
6,UAV6,0,15.00000000,45.49881497,-73.59864963,15.00000000,178.06503423,93.69650659
7,UAV7,0,15.00000000,45.49819436,-73.59879226,15.00000000,109.05648122,77.83644864
8,UAV8,0,15.00000000,45.49883732,-73.59844625,15.00000000,180.55027402,116.31204340
9,UAV9,1,15.00000000,45.49848970,-73.59807384,15.00000000,141.89744237,157.72126991
10,UAV10,1,15.00000000,45.50049170,-73.59739956,15.00000000,364.50958482,232.69812121
11,UAV11,1,15.00000000,45.49831869,-73.59808146,15.00000000,122.88147763,156.87483487
12,UAV12,1,15.00000000,45.49885218,-73.59723200,15.00000000,182.20319866,251.33009924
13,UAV13,1,15.00000000,45.49817935,-73.59804136,15.00000000,107.38771256,161.33273471
14,UAV14,1,15.00000000,45.49853182,-73.59801472,15.00000000,146.58078106,164.29529615
15,UAV15,0,15.00000000,45.50033632,-73.59723524,15.00000000,347.23207092,250.96986134
16,UAV16,1,15.00000000,45.49830725,-73.59782793,15.00000000,121.60984327,185.06540280
17,UAV17,0,15.00000000,45.50061125,-73.59719767,15.00000000,377.80286469,255.14687617
18,UAV18,1,15.00000000,45.49832971,-73.59762661,15.00000000,124.10693705,207.45127599
19,UAV19,0,15.00000000,45.49835359,-73.59745815,15.00000000,126.76234855,226.18357806
