id,do processing,gps location-alt,gps location-lat,gps location-lng,gps location in 2D-alt, gps location in 2D-lat,gps location in 2D-lng
0,1,10.000000,45.508013,-73.586005,0.000000,1.445534,1.000754
1,1,10.000000,45.509013,-73.586005,0.000000,1.556729,1.000754
2,1,10.000000,45.510013,-73.586005,0.000000,1.667924,1.000754
3,0,10.000000,45.507013,-73.586005,0.000000,1.334339,1.000754
4,0,10.000000,45.506013,-73.586005,0.000000,1.223144,1.000754
5,0,10.000000,45.505013,-73.586005,0.000000,1.111949,1.000754
6,0,10.000000,45.511013,-73.586005,0.000000,1.779119,1.000754
7,1,10.000000,45.513013,-73.586005,0.000000,2.001509,1.000754
8,1,10.000000,45.514013,-73.586005,0.000000,2.112704,1.000754
9,0,10.000000,45.512013,-73.586005,0.000000,1.890314,1.000754
