id,HEAVEN id,do processing,gps location-alt,gps location-lat,gps location-lng,gps location in 2D-alt, gps location in 2D-lat,gps location in 2D-lng
0,UAV0,1,0.00000000,45.49721359,-73.59949226,0.00000000,0.00000000,0.00000000
1,UAV1,1,0.00000000,45.49721359,-73.59939226,0.00000000,0.00000000,11.11949266
2,UAV2,1,15.00000000,45.49751024,-73.59902528,15.00000000,32.98580455,51.92620943
3,UAV3,0,15.00000000,45.49722644,-73.59916656,15.00000000,1.42887054,36.21621907
4,UAV4,1,15.00000000,45.49731171,-73.59742422,15.00000000,10.91049187,229.95633247
5,UAV5,1,15.00000000,45.49860805,-73.59767120,15.00000000,155.05656066,202.49315231
6,UAV6,1,0.00000000,45.49721359,-73.59889226,0.00000000,0.00000000,66.71695599
7,UAV7,1,15.00000000,45.49793528,-73.59734889,15.00000000,80.24784093,238.33213050
8,UAV8,1,0.00000000,45.49721359,-73.59869226,0.00000000,0.00000000,88.95594132
9,UAV9,0,15.00000000,45.49732700,-73.59845824,15.00000000,12.61047713,114.97872514
10,UAV10,1,15.00000000,45.49739249,-73.59832827,15.00000000,19.89331002,129.43046083
11,UAV11,1,0.00000000,45.49721359,-73.59839226,0.00000000,0.00000000,122.31441931
12,UAV12,1,0.00000000,45.49721359,-73.59829226,0.00000000,0.00000000,133.43391198
13,UAV13,1,15.00000000,45.49883610,-73.59729988,15.00000000,180.41510892,243.78171445
14,UAV14,1,15.00000000,45.49743535,-73.59753786,15.00000000,24.65873880,217.31974430
